activity,institution,source_id,experiment_id,member_id,candidate_ready,full_physics_ready,trackability,circulation_basis,pressure_levels_verified,has_mslp,has_surface_wind,has_precipitation,has_temperature,has_humidity,has_surface_pressure,historical_pair_available,grid_labels,first_period,last_period,available_fields,missing_for_candidate_tracking,remaining_preprocessing
CMIP,AS-RCEC,TaiESM1,abrupt-4xCO2,r1i1p1f1,False,False,incomplete,none,False,False,False,True,False,False,False,False,gn,001101010000,015012312100,3hr:pr,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|classification without native 10-m vector wind
CMIP,AS-RCEC,TaiESM1,amip,r1i1p1f1,False,False,incomplete,none,False,False,False,False,False,False,True,False,gn,197901010130,201412312230,3hr:ps,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|classification without native 10-m vector wind|precipitation diagnostics unavailable
CMIP,AS-RCEC,TaiESM1,historical,r1i1p1f1,False,False,candidate_fields_present_levels_unverified,6hrPlevPt:ua+va,False,True,False,True,True,True,True,False,gn,185001010000,201501010000,3hr:pr|3hr:ps|6hrLev:hus|6hrLev:ps|6hrLev:ta|6hrLev:ua|6hrLev:va|6hrPlev:hus|6hrPlev:pr|6hrPlev:psl|6hrPlevPt:hus|6hrPlevPt:psl|6hrPlevPt:ta|6hrPlevPt:ua|6hrPlevPt:va|6hrPlevPt:zg,verified fixed-pressure ua+va or vo at 850/700/500 hPa,regional subset and common-grid standardisation|classification without native 10-m vector wind
CMIP,AS-RCEC,TaiESM1,piControl,r1i1p1f1,False,False,candidate_fields_present_levels_unverified,6hrPlevPt:ua+va,False,True,False,True,True,False,False,False,gn,050101010000,070012312100,3hr:pr|6hrPlevPt:psl|6hrPlevPt:ta|6hrPlevPt:ua|6hrPlevPt:va,verified fixed-pressure ua+va or vo at 850/700/500 hPa,regional subset and common-grid standardisation|classification without native 10-m vector wind
CMIP,AWI,AWI-CM-1-1-MR,abrupt-4xCO2,r1i1p1f1,False,False,incomplete,none,False,False,False,True,False,False,False,False,gn,185001010130,200012312230,3hr:pr,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|classification without native 10-m vector wind
CMIP,AWI,AWI-CM-1-1-MR,historical,r1i1p1f1,False,False,incomplete,none,False,False,True,True,False,False,True,False,gn,185001010130,201501010000,3hr:pr|3hr:ps|3hr:uas|3hr:vas,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation
CMIP,AWI,AWI-CM-1-1-MR,historical,r2i1p1f1,False,False,incomplete,none,False,False,True,True,False,False,True,False,gn,185001010130,201501010000,3hr:pr|3hr:ps|3hr:uas|3hr:vas,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation
CMIP,AWI,AWI-CM-1-1-MR,historical,r3i1p1f1,False,False,incomplete,none,False,False,True,True,False,False,True,False,gn,185001010130,201501010000,3hr:pr|3hr:ps|3hr:uas|3hr:vas,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation
CMIP,AWI,AWI-CM-1-1-MR,historical,r4i1p1f1,False,False,incomplete,none,False,False,True,True,False,False,True,False,gn,185001010130,201501010000,3hr:pr|3hr:ps|3hr:uas|3hr:vas,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation
CMIP,AWI,AWI-CM-1-1-MR,piControl,r1i1p1f1,False,False,incomplete,none,False,False,True,True,False,False,False,False,gn,240101010130,290101010000,3hr:pr|3hr:uas|3hr:vas,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation
CMIP,AWI,AWI-ESM-1-1-LR,historical,r1i1p1f1,True,True,candidate_ready,6hrPlevPt:ua+va,True,True,True,True,True,True,True,False,gn,185001010130,201501010000,3hr:pr|3hr:ps|3hr:uas|3hr:vas|6hrLev:hus|6hrLev:ps|6hrLev:ta|6hrLev:ua|6hrLev:va|6hrPlev:hus|6hrPlev:pr|6hrPlev:psl|6hrPlev:uas|6hrPlev:vas|6hrPlevPt:hus|6hrPlevPt:psl|6hrPlevPt:ta|6hrPlevPt:ua|6hrPlevPt:uas|6hrPlevPt:va|6hrPlevPt:vas|6hrPlevPt:zg,,regional subset and common-grid standardisation
CMIP,AWI,AWI-ESM-1-1-LR,piControl,r1i1p1f1,True,False,candidate_ready,6hrPlevPt:ua+va,True,True,True,True,True,False,False,True,gn,185501010130,195501010000,3hr:pr|3hr:uas|3hr:vas|6hrLev:ta|6hrLev:ua|6hrLev:va|6hrPlev:psl|6hrPlev:uas|6hrPlev:vas|6hrPlevPt:psl|6hrPlevPt:ta|6hrPlevPt:ua|6hrPlevPt:uas|6hrPlevPt:va|6hrPlevPt:vas|6hrPlevPt:zg,,regional subset and common-grid standardisation
CMIP,BCC,BCC-CSM2-MR,amip,r1i1p1f1,False,False,incomplete,none,False,False,False,False,True,False,True,False,gn,197901010000,201412312100,3hr:ps|6hrPlevPt:ta,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|classification without native 10-m vector wind|precipitation diagnostics unavailable
CMIP,BCC,BCC-CSM2-MR,amip,r2i1p1f1,False,False,incomplete,none,False,False,True,False,False,False,False,False,gn,197901010000,201412312100,3hr:uas|3hr:vas,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|precipitation diagnostics unavailable
CMIP,BCC,BCC-CSM2-MR,esm-hist,r1i1p1f1,False,False,candidate_fields_present_levels_unverified,6hrPlevPt:ua+va,False,True,False,True,True,False,True,False,gn,195001010000,201412312230,3hr:pr|3hr:ps|6hrLev:hus|6hrLev:ps|6hrLev:ta|6hrLev:ua|6hrLev:va|6hrPlevPt:psl|6hrPlevPt:ta|6hrPlevPt:ua|6hrPlevPt:va,verified fixed-pressure ua+va or vo at 850/700/500 hPa,regional subset and common-grid standardisation|classification without native 10-m vector wind
CMIP,BCC,BCC-CSM2-MR,historical,r1i1p1f1,False,False,candidate_fields_present_levels_unverified,6hrPlevPt:ua+va,False,True,True,True,True,False,True,False,gn,195001010000,201412312230,3hr:pr|3hr:ps|3hr:uas|3hr:vas|6hrLev:hus|6hrLev:ps|6hrLev:ta|6hrLev:ua|6hrLev:va|6hrPlevPt:psl|6hrPlevPt:ta|6hrPlevPt:ua|6hrPlevPt:va,verified fixed-pressure ua+va or vo at 850/700/500 hPa,regional subset and common-grid standardisation
CMIP,CAS,FGOALS-f3-L,historical,r1i1p1f1,False,False,candidate_fields_present_levels_unverified,6hrPlevPt:ua+va,False,True,False,False,True,False,True,False,gr,185001010130,201412312230,3hr:ps|6hrLev:hus|6hrLev:ps|6hrLev:ta|6hrLev:ua|6hrLev:va|6hrPlevPt:psl|6hrPlevPt:ta|6hrPlevPt:ua|6hrPlevPt:va,verified fixed-pressure ua+va or vo at 850/700/500 hPa,regional subset and common-grid standardisation|classification without native 10-m vector wind|precipitation diagnostics unavailable
CMIP,CAS,FGOALS-g3,abrupt-4xCO2,r1i1p1f1,False,False,incomplete,none,False,False,False,True,False,False,False,False,gn,055901010300,061412312100,6hrPlev:pr,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|classification without native 10-m vector wind
CMIP,CAS,FGOALS-g3,historical,r1i1p1f1,False,False,hybrid_levels_convertible,6hrLev:ua+va,False,True,False,True,False,True,True,False,gn,185001010130,201612312230,3hr:pr|3hr:ps|6hrLev:hus|6hrLev:ps|6hrLev:ta|6hrLev:ua|6hrLev:va|6hrPlev:hus|6hrPlev:pr|6hrPlev:psl,verified fixed-pressure ua+va or vo at 850/700/500 hPa,hybrid-to-pressure interpolation|regional subset and common-grid standardisation|classification without native 10-m vector wind
CMIP,CAS,FGOALS-g3,historical,r3i1p1f1,False,False,incomplete,none,False,False,False,False,False,False,False,False,gn,185001010300,201612312100,6hrLev:ta,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|classification without native 10-m vector wind|precipitation diagnostics unavailable
CMIP,CCCR-IITM,IITM-ESM,abrupt-4xCO2,r1i1p1f1,False,False,incomplete,none,False,False,False,True,False,False,False,False,gn,185001010130,201412312230,3hr:pr,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|classification without native 10-m vector wind
CMIP,CCCR-IITM,IITM-ESM,amip,r1i1p1f1,False,False,incomplete,none,False,False,False,False,False,False,False,False,gn,197901010600,201501010000,6hrLev:ta,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|classification without native 10-m vector wind|precipitation diagnostics unavailable
CMIP,CCCR-IITM,IITM-ESM,historical,r1i1p1f1,False,False,incomplete,none,False,True,True,True,False,False,False,False,gn,185001010130,201501010000,3hr:pr|3hr:uas|3hr:vas|6hrPlev:psl,verified fixed-pressure ua+va or vo at 850/700/500 hPa,regional subset and common-grid standardisation
CMIP,CCCR-IITM,IITM-ESM,piControl,r1i1p1f1,False,False,incomplete,none,False,False,True,True,False,False,False,False,gn,192601010130,212601010000,3hr:pr|3hr:uas|3hr:vas|6hrLev:ua|6hrLev:va,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation
CMIP,CCCma,CanESM5,abrupt-4xCO2,r1i1p2f1,False,False,incomplete,none,False,False,False,True,False,False,False,False,gn,185001010130,200012312230,3hr:pr,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|classification without native 10-m vector wind
CMIP,CCCma,CanESM5,amip,r1i1p1f1,False,False,incomplete,none,False,False,False,True,False,False,True,False,gn,195001010000,201412312230,3hr:pr|3hr:ps,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|classification without native 10-m vector wind
CMIP,CCCma,CanESM5,amip,r1i1p2f1,False,False,incomplete,none,False,False,False,True,False,False,True,False,gn,195001010000,201412312230,3hr:pr|3hr:ps,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|classification without native 10-m vector wind
CMIP,CCCma,CanESM5,historical,r1i1p2f1,False,False,incomplete,none,False,False,True,True,False,False,True,False,gn,185001010000,201501010000,3hr:pr|3hr:ps|3hr:uas|3hr:vas|6hrLev:ps|6hrLev:ta|6hrLev:ua|6hrLev:va,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation
CMIP,CCCma,CanESM5,piControl,r1i1p2f1,False,False,incomplete,none,False,False,False,True,False,False,False,False,gn,555001010130,571512312230,3hr:pr,verified fixed-pressure ua+va or vo at 850/700/500 hPa|six-hourly-or-better psl,regional subset and common-grid standardisation|classification without native 10-m vector wind
